Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51718082,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,"Hastings, Reed",Erin Meyer,"=""1984877860""","=""9781984877864""",0,4.27,Penguin Press,Hardcover,293,2020,2020,,2022/09/28,to-read,to-read (#22),to-read,,,,0,0
17166221,Lord of the Flies (Penguin Drop Caps),William Golding,"Golding, William",Jessica Hische,"=""0143124293""","=""9780143124290""",0,3.70,Penguin Books,Hardcover,256,2013,1954,,2022/09/28,to-read,to-read (#21),to-read,,,,0,0
51164133,How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius,Donald J. Robertson,"Robertson, Donald J.",,"=""1250621437""","=""9781250621436""",0,4.35,St. Martin's Griffin,Paperback,304,2020,2019,,2022/09/28,to-read,to-read (#20),to-read,,,,0,0
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""0140280197""","=""9780140280197""",0,4.09,Penguin Books,Paperback,452,2000,1999,,2022/09/28,to-read,to-read (#19),to-read,,,,0,0
16121,"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,"Chernow, Ron",,"=""1400077303""","=""9781400077304""",0,4.15,Vintage,Paperback,832,2004,1998,,2022/09/28,to-read,to-read (#18),to-read,,,,0,0
22571572,Letters from a Stoic (A Penguin Classics Hardcover),Seneca,"Seneca, Seneca","Coralie Bickford-Smith, Robin Campbell","=""0141395850""","=""9780141395852""",0,4.33,Penguin Classics,Hardcover,309,2014,64,,2022/09/28,to-read,to-read (#17),to-read,,,,0,0
4143812,Discourses and Selected Writings,Epictetus,"Epictetus, Epictetus",Robert Dobbin,"=""0140449469""","=""9780140449464""",0,4.40,Penguin Books,Paperback,276,2008,108,,2022/09/28,to-read,to-read (#16),to-read,,,,0,0
30292,"Five Dialogues: Euthyphro, Apology, Crito, Meno, Phaedo",Plato,"Plato, Plato","G.M.A. Grube, John M. Cooper","=""0872206335""","=""9780872206335""",0,4.16,"Hackett Publishing Company, Inc.",Paperback,156,2002,-385,,2022/09/28,to-read,to-read (#13),to-read,,,,0,0
36204899,How to Be a Stoic: Using Ancient Philosophy to Live a Modern Life,Massimo Pigliucci,"Pigliucci, Massimo",,"=""1541644530""","=""9781541644533""",0,4.04,Basic Books,Paperback,288,2018,2017,,2022/09/28,to-read,to-read (#14),to-read,,,,0,0
26197314,The Sound and the Fury,William Faulkner,"Faulkner, William",,"=""0679732241""","=""9780679732242""",0,3.86,Vintage International,Paperback,351,1990,1929,,2022/09/28,to-read,to-read (#12),to-read,,,,0,0
50484473,Lives of the Stoics: The Art of Living from Zeno to Marcus Aurelius,Ryan Holiday,"Holiday, Ryan",Stephen Hanselman,"=""052554187X""","=""9780525541875""",0,4.03,Portfolio,Hardcover,352,2020,2020,,2022/09/28,to-read,to-read (#11),to-read,,,,0,0
43582733,Stillness Is the Key,Ryan Holiday,"Holiday, Ryan",,"=""0525538585""","=""9780525538585""",0,4.22,Portfolio,Hardcover,288,2019,2019,,2022/09/28,to-read,to-read (#10),to-read,,,,0,0
99930,Plato: A Very Short Introduction,Julia Annas,"Annas, Julia",,"=""019280216X""","=""9780192802163""",0,3.58,Oxford University Press,Paperback,104,2003,2003,,2022/09/28,to-read,to-read (#9),to-read,,,,0,0
81779,The Symposium,Plato,"Plato, Plato",Christopher Gill,"=""0140449272""","=""9780140449273""",0,4.09,Penguin Books,Paperback,90,2003,-380,,2022/09/28,to-read,to-read (#8),to-read,,,,0,0
44245267,Socrates: A Very Short Introduction,C.C.W. Taylor,"Taylor, C.C.W.",,"=""0198835981""","=""9780198835981""",0,3.29,Oxford University Press,Paperback,160,2019,1998,,2022/09/28,to-read,to-read (#7),to-read,,,,0,0
99928,Aristotle: A Very Short Introduction,Jonathan Barnes,"Barnes, Jonathan",,"=""0192854089""","=""9780192854087""",0,3.67,Oxford University Press,Paperback,160,2000,1982,,2022/09/28,to-read,to-read (#6),to-read,,,,0,0
567610,How to Read a Book: The Classic Guide to Intelligent Reading,Mortimer J. Adler,"Adler, Mortimer J.",Charles van Doren,"=""""","=""""",0,3.98,"Simon & Schuster, Inc",Paperback,442,1972,1940,,2022/09/28,to-read,to-read (#5),to-read,,,,0,0
50,"Hatchet (Brian's Saga, #1)",Gary Paulsen,"Paulsen, Gary",,"=""0689840926""","=""9780689840920""",4,3.79,Atheneum Books for Young Readers: Richard Jackson Books,Hardcover,208,2000,1987,2022/09/25,2022/08/16,,,read,,,,1,0
55539565,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,"=""1984878107""","=""9781984878106""",0,4.13,Viking Books,Hardcover,307,2021,2021,,2022/09/25,to-read,to-read (#4),to-read,,,,0,0
6452796,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"Pink, Daniel H.",,"=""1594488843""","=""9781594488849""",0,3.95,Riverhead Books,Hardcover,242,2009,2009,,2022/08/16,to-read,to-read (#3),to-read,,,,0,0
17716,Waiting for Godot,Samuel Beckett,"Beckett, Samuel",,"=""""","=""""",5,3.84,Grove,Paperback,109,2011,1951,,2018/05/11,,,read,,,,1,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",0,4.13,Ecco,Hardcover,392,2015,2015,,2018/05/10,to-read,to-read (#2),to-read,,,,0,0
