Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
A Tale of Sorcery...,Chris Colfer,"","",digital,read,2024/01/10,2024/03/09,2024/02/05-2024/03/09,1,"adventurous, funny, hopeful",fast,A mix,Yes,Yes,Yes,No,4.0,"","","",read-to-lola,Yes
Soul Boom: Why We Need a Spiritual Revolution,Rainn Wilson,"",9780306828270,hardcover,to-read,2023/04/30,"","",0,"",,,,,,,,,"",,"",No
The Creative Act,Rick Rubin,"",9780593653425,digital,to-read,2024/09/04,"","",0,"",,,,,,,,,"",,recommended,Yes
How to Give: An Ancient Guide to Giving and Receiving,Lucius Annaeus Seneca,James S. Romm (Translator),9780691192093,hardcover,to-read,2024/08/17,"","",0,"",,,,,,,,,"",,"",No
Heretics of Dune,Frank Herbert,"",9780593098264,paperback,read,2024/06/04,2025/02/07,2025/01/13-2025/02/07,1,"",,"","","","","",3.75,"","","","",Yes
Fahrenheit 451,Ray Bradbury,"","",digital,currently-reading,2025/06/10,"","",0,"",,,,,,,,,"",,read-together,No
Extreme Ownership: How U.S. Navy SEALs Lead and Win,"Leif Babin, Jocko Willink","",9781250067050,hardcover,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,"",9781400077304,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"Stephen R. Covey, Jim Collins","",9780743269513,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
The Infinite Game,Simon Sinek,"",9780735213500,hardcover,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
The Wishing Spell,"Fabienne Pfeiffer, Brandon Dorman, Chris Colfer","","",digital,read,2024/01/10,2025/06/23,2025/04/26-2025/06/23,1,"",,,,,,,,,"",,read-to-lola,Yes
The Power of Regret: How Looking Backward Moves Us Forward,Daniel H. Pink,"",9780735210653,hardcover,to-read,2023/01/16,"","",0,"",,,,,,,,,"",,"",No
The Enchantress Returns,Chris Colfer,Brandon Dorman (Illustrator),9780316201544,hardcover,read,2025/06/24,2025/08/25,2025/06/23-2025/08/25,1,"",,,,,,,,,"",,"",No
